pyani,fastani,MashANI,orthoANI,avg_cANI_k21_sc1,avg_cANI_k21_sc10,avg_cANI_k21_sc100,avg_cANI_k21_sc1000
0.699722759,0,0,0.674738,0.720024404,0.719164785,0.715569396,0.683349471
0.694333999,0,0,0.657153,0.662358643,0.662562069,0.620345092,0
0.677215341,0,0,0.64292,0.665934366,0.65994715,0.640204547,0
0.692550138,0,0,0.644793,0.687973948,0.686091889,0.678974702,0
0.681391643,0,0,0.647497,0.662911572,0.664755742,0.658288279,0
0.68285097,0,0,0.637242,0.655136377,0.656361718,0.640767216,0
0.686562059,0,0,0.640537,0.68030681,0.675128789,0.678865721,0
0.683516293,0,0,0.642405,0.667477047,0.666035439,0.677360344,0
0.701329618,0,0,0.629618,0.629324978,0.630891749,0.654562499,0
0.694207227,0,0,0.631833,0.637905648,0.638808035,0.653327556,0
0.703145,0,0.704019,0.634042,0.622000763,0.6157625,0.643200062,0.672343451
0.671645417,0,0,0.601,0.616766497,0.61362732,0.620260128,0
0.663187269,0,0,0.630286,0.628238887,0.632136193,0.613046866,0
0.692683375,0,0,0.613833,0.603792447,0.60105169,0,0
0.988659474,0.987823,0.9870802,0.988922,0.98746074,0.987480265,0.987464269,0.987794957
0.998338063,0.9988045,0.99808084,0.998887,0.998302364,0.998298479,0.998329163,0.998472469
0.989288891,0.9884485,0.9886026,0.989074,0.988763918,0.988747146,0.988681134,0.988943893
0.957035216,0.9553045,0.9606344,0.95701,0.959047871,0.95914935,0.959356345,0.960739517
0.95004983,0.9499,0.9560609,0.951221,0.953257212,0.953352861,0.95343568,0.95457141
0.931100794,0.931,0.9404262,0.93242,0.939867607,0.939898432,0.939884931,0.940868927
0.806408339,0.8204155,0.808269,0.803371,0.845968911,0.846049492,0.845268643,0.850609496
0.807076939,0.8216275,0.808269,0.80541,0.847130509,0.84710715,0.846312524,0.852846986
0.70692603,0,0,0.680425,0.713654636,0.71292956,0.721336341,0.735470895
0.697914617,0,0,0.658363,0.678663883,0.673098792,0.676019746,0
0.718568324,0,0,0.685638,0.721030802,0.722800046,0.723650446,0.751509866
0.711615343,0,0,0.678382,0.713437388,0.714148084,0.71875136,0.728428762
0.712138108,0,0,0.677382,0.702827447,0.70256734,0.702561723,0.664721486
0.700544352,0,0,0.663407,0.680128934,0.677207108,0.669989662,0.684079073
0.708188509,0,0,0.661176,0.687628178,0.689645455,0.677569983,0.681128094
0.703666447,0,0,0.649555,0.674462612,0.677946599,0.673849225,0
0.702751348,0,0,0.646675,0.662635892,0.668134245,0.671341999,0.662962857
0.70624192,0,0,0.652518,0.66442461,0.667976694,0.653868755,0
0.7175237,0,0,0.645462,0.640858874,0.639408599,0.61004368,0
0.681382417,0,0,0.629593,0.63163231,0.642393075,0.656681859,0
0.722471779,0,0,0.63375,0.632352946,0.632626945,0,0
0.999596111,0.999799,0.999976173,0.9993,0.999882518,0.999887238,0.999891676,0.99991364
0.999310201,0.9998025,0.999976173,0.998932,0.999876139,0.999879589,0.999877568,0.999913664
0.999046339,0.9997005,0.999541076,0.998285,0.999463211,0.99945183,0.999487819,0.999510203
0.701419358,0,0,0.676778,0.721405665,0.722293953,0.731212879,0.727003444
0.710168267,0,0.736978,0.685764,0.736887212,0.734842417,0.736489558,0.734344302
0.702225578,0,0,0.67692,0.723793806,0.725933031,0.729166909,0.714422277
0.67118555,0,0,0.623702,0.658868504,0.664105661,0.678678749,0
0.677611085,0,0,0.625382,0.654198729,0.649404122,0.660610361,0
0.673674775,0,0,0.635123,0.66309969,0.666271657,0.672600676,0
0.681614258,0,0,0.635033,0.653565486,0.65048922,0.627703105,0
0.67289859,0,0,0.614926,0.642841418,0.639752649,0.6221394,0
0.713111667,0,0,0.591875,0.618918275,0.631166315,0.623446904,0
0.695516111,0,0,0.637375,0.633629883,0.632254997,0.624412515,0
0.6592225,0,0,0.602088,0.589855719,0.583552552,0,0
0.656501667,0,0,0.593833,0.612362812,0.616856321,0.627621465,0
0.66977,0,0,0.589067,0.553974281,0,0,0
0.68564125,0,0,0.674,0.59555446,0.58865883,0.635615049,0
0.334676667,0,0,0.611909,0.608116581,0.615090311,0,0
